Date,Product,Currency,Value,Type
25 October 2019,LME Aluminium Alloy,US$,"1,370.00",Non ferrous metals
25 October 2019,LME NASAAC,US$,"1,070.00",Non ferrous metals
25 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
25 October 2019,LME Gold,US$,"1,503.20",Precious metals
25 October 2019,LME Silver,US$,17.945,Precious metals
25 October 2019,LME Steel Scrap,US$,257.00,Ferrous metals
25 October 2019,LME Steel Rebar,US$,416.00,Ferrous metals
28 October 2019,LME Aluminium,US$,"1,727.00",Non ferrous metals
28 October 2019,LME Copper,US$,"5,888.50",Non ferrous metals
28 October 2019,LME Zinc,US$,"2,577.00",Non ferrous metals
28 October 2019,LME Nickel,US$,"16,680.00",Non ferrous metals
28 October 2019,LME Lead,US$,"2,232.00",Non ferrous metals
28 October 2019,LME Tin,US$,"16,900.00",Non ferrous metals
28 October 2019,LME Aluminium Alloy,US$,"1,330.00",Non ferrous metals
28 October 2019,LME NASAAC,US$,"1,080.00",Non ferrous metals
28 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
28 October 2019,LME Gold,US$,"1,492.30",Precious metals
28 October 2019,LME Silver,US$,17.880,Precious metals
28 October 2019,LME Steel Scrap,US$,257.00,Ferrous metals
28 October 2019,LME Steel Rebar,US$,418.00,Ferrous metals
29 October 2019,LME Aluminium,US$,"1,737.50",Non ferrous metals
29 October 2019,LME Copper,US$,"5,879.50",Non ferrous metals
29 October 2019,LME Zinc,US$,"2,586.00",Non ferrous metals
29 October 2019,LME Nickel,US$,"16,680.00",Non ferrous metals
29 October 2019,LME Lead,US$,"2,267.00",Non ferrous metals
29 October 2019,LME Tin,US$,"16,725.00",Non ferrous metals
29 October 2019,LME Aluminium Alloy,US$,"1,350.00",Non ferrous metals
29 October 2019,LME NASAAC,US$,"1,130.00",Non ferrous metals
29 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
29 October 2019,LME Gold,US$,"1,489.00",Precious metals
29 October 2019,LME Silver,US$,17.815,Precious metals
29 October 2019,LME Steel Scrap,US$,252.50,Ferrous metals
29 October 2019,LME Steel Rebar,US$,414.50,Ferrous metals
30 October 2019,LME Aluminium,US$,"1,746.50",Non ferrous metals
30 October 2019,LME Copper,US$,"5,883.00",Non ferrous metals
30 October 2019,LME Zinc,US$,"2,563.50",Non ferrous metals
30 October 2019,LME Nickel,US$,"16,900.00",Non ferrous metals
30 October 2019,LME Lead,US$,"2,255.50",Non ferrous metals
30 October 2019,LME Tin,US$,"16,800.00",Non ferrous metals
30 October 2019,LME Aluminium Alloy,US$,"1,370.00",Non ferrous metals
30 October 2019,LME NASAAC,US$,"1,150.00",Non ferrous metals
30 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
30 October 2019,LME Gold,US$,"1,488.80",Precious metals
30 October 2019,LME Silver,US$,17.720,Precious metals
30 October 2019,LME Steel Scrap,US$,252.00,Ferrous metals
30 October 2019,LME Steel Rebar,US$,414.50,Ferrous metals
31 October 2019,LME Aluminium,US$,"1,742.50",Non ferrous metals
31 October 2019,LME Copper,US$,"5,825.00",Non ferrous metals
31 October 2019,LME Zinc,US$,"2,543.00",Non ferrous metals
31 October 2019,LME Nickel,US$,"16,835.00",Non ferrous metals
31 October 2019,LME Lead,US$,"2,210.00",Non ferrous metals
31 October 2019,LME Tin,US$,"16,750.00",Non ferrous metals
31 October 2019,LME Aluminium Alloy,US$,"1,370.00",Non ferrous metals
31 October 2019,LME NASAAC,US$,"1,190.00",Non ferrous metals
31 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
31 October 2019,LME Gold,US$,"1,512.20",Precious metals
31 October 2019,LME Silver,US$,18.065,Precious metals
31 October 2019,LME Steel Scrap,US$,253.00,Ferrous metals
31 October 2019,LME Steel Rebar,US$,410.00,Ferrous metals
1 November 2019,LME Aluminium,US$,"1,766.00",Non ferrous metals
1 November 2019,LME Copper,US$,"5,797.00",Non ferrous metals
1 November 2019,LME Zinc,US$,"2,541.00",Non ferrous metals
1 November 2019,LME Nickel,US$,"16,750.00",Non ferrous metals
1 November 2019,LME Lead,US$,"2,176.00",Non ferrous metals
1 November 2019,LME Tin,US$,"16,575.00",Non ferrous metals
1 November 2019,LME Aluminium Alloy,US$,"1,370.00",Non ferrous metals
1 November 2019,LME NASAAC,US$,"1,130.00",Non ferrous metals
1 November 2019,LME Cobalt,US$,"35,500.00",Minor metals
1 November 2019,LME Gold,US$,"1,509.10",Precious metals
1 November 2019,LME Silver,US$,18.050,Precious metals
1 November 2019,LME Steel Scrap,US$,257.00,Ferrous metals
1 November 2019,LME Steel Rebar,US$,414.00,Ferrous metals
4 November 2019,LME Aluminium,US$,"1,787.00",Non ferrous metals
4 November 2019,LME Copper,US$,"5,846.50",Non ferrous metals
4 November 2019,LME Zinc,US$,"2,586.00",Non ferrous metals
4 November 2019,LME Nickel,US$,"16,595.00",Non ferrous metals
4 November 2019,LME Lead,US$,"2,176.00",Non ferrous metals
4 November 2019,LME Tin,US$,"16,450.00",Non ferrous metals
4 November 2019,LME Aluminium Alloy,US$,"1,360.00",Non ferrous metals
4 November 2019,LME NASAAC,US$,"1,125.00",Non ferrous metals
4 November 2019,LME Cobalt,US$,"35,500.00",Minor metals
4 November 2019,LME Gold,US$,"1,508.80",Precious metals
4 November 2019,LME Silver,US$,18.050,Precious metals
4 November 2019,LME Steel Scrap,US$,261.50,Ferrous metals
4 November 2019,LME Steel Rebar,US$,415.00,Ferrous metals
5 November 2019,LME Aluminium,US$,"1,813.50",Non ferrous metals
5 November 2019,LME Copper,US$,"5,880.00",Non ferrous metals
5 November 2019,LME Zinc,US$,"2,595.00",Non ferrous metals
5 November 2019,LME Nickel,US$,"16,235.00",Non ferrous metals
5 November 2019,LME Lead,US$,"2,173.00",Non ferrous metals
5 November 2019,LME Tin,US$,"16,575.00",Non ferrous metals
5 November 2019,LME Aluminium Alloy,US$,"1,331.00",Non ferrous metals
5 November 2019,LME NASAAC,US$,"1,110.00",Non ferrous metals
5 November 2019,LME Cobalt,US$,"35,500.00",Minor metals
5 November 2019,LME Gold,US$,"1,482.80",Precious metals
5 November 2019,LME Silver,US$,17.620,Precious metals
5 November 2019,LME Steel Scrap,US$,263.00,Ferrous metals
5 November 2019,LME Steel Rebar,US$,419.50,Ferrous metals
6 November 2019,LME Aluminium,US$,"1,817.50",Non ferrous metals
6 November 2019,LME Copper,US$,"5,913.50",Non ferrous metals
6 November 2019,LME Zinc,US$,"2,528.00",Non ferrous metals
6 November 2019,LME Nickel,US$,"16,390.00",Non ferrous metals
6 November 2019,LME Lead,US$,"2,138.00",Non ferrous metals
6 November 2019,LME Tin,US$,"16,410.00",Non ferrous metals
6 November 2019,LME Aluminium Alloy,US$,"1,335.00",Non ferrous metals
6 November 2019,LME NASAAC,US$,"1,111.00",Non ferrous metals
6 November 2019,LME Cobalt,US$,"35,500.00",Minor metals
6 November 2019,LME Gold,US$,"1,491.10",Precious metals
6 November 2019,LME Silver,US$,17.620,Precious metals
6 November 2019,LME Steel Scrap,US$,267.50,Ferrous metals
6 November 2019,LME Steel Rebar,US$,422.00,Ferrous metals
7 November 2019,LME Aluminium,US$,"1,817.50",Non ferrous metals
7 November 2019,LME Copper,US$,"5,941.00",Non ferrous metals
7 November 2019,LME Zinc,US$,"2,542.00",Non ferrous metals
7 November 2019,LME Nickel,US$,"16,305.00",Non ferrous metals
7 November 2019,LME Lead,US$,"2,105.00",Non ferrous metals
7 November 2019,LME Tin,US$,"16,600.00",Non ferrous metals
7 November 2019,LME Aluminium Alloy,US$,"1,295.00",Non ferrous metals
7 November 2019,LME NASAAC,US$,"1,135.00",Non ferrous metals
7 November 2019,LME Cobalt,US$,"35,500.00",Minor metals
7 November 2019,LME Gold,US$,"1,466.10",Precious metals
7 November 2019,LME Silver,US$,17.070,Precious metals
7 November 2019,LME Steel Scrap,US$,267.50,Ferrous metals
7 November 2019,LME Steel Rebar,US$,426.00,Ferrous metals
7 November 2019,LME Aluminium,US$,"1,817.50",Non ferrous metals
7 November 2019,LME Copper,US$,"5,941.00",Non ferrous metals
7 November 2019,LME Zinc,US$,"2,542.00",Non ferrous metals
7 November 2019,LME Nickel,US$,"16,305.00",Non ferrous metals
7 November 2019,LME Lead,US$,"2,105.00",Non ferrous metals
7 November 2019,LME Tin,US$,"16,600.00",Non ferrous metals
7 November 2019,LME Aluminium Alloy,US$,"1,295.00",Non ferrous metals
7 November 2019,LME NASAAC,US$,"1,135.00",Non ferrous metals
7 November 2019,LME Cobalt,US$,"35,500.00",Minor metals
7 November 2019,LME Gold,US$,"1,466.10",Precious metals
7 November 2019,LME Silver,US$,17.070,Precious metals
7 November 2019,LME Steel Scrap,US$,267.50,Ferrous metals
7 November 2019,LME Steel Rebar,US$,426.00,Ferrous metals
